AC_NO,AC_NAME,AC_TYPE,CAND_NAME,CAND_SEX,CAND_CATEGORY,CAND_AGE,CAND_EDU,CAND_PARTY,CRIMINAL_CASE,TOTAL_ASSET,TOTAL_LIB,PAN,ITR_FILED,TOTAL_VALID_VOTES,POSITION
154,Mavli,GEN,PUSHKAR LAL DANGI,M,GEN,48,10th Pass,INC,0,19704414,1860000,Yes,Yes,61093,2
154,Mavli,GEN,RAJKUMAR SHRIMALI,M,GEN,54,5th Pass,BSP,0,3898600,250000,Yes,No,2121,5
154,Mavli,GEN,RAM LAL MEGHWAL,M,SC,34,Graduate Professional,MEDP,0,1597098,0,Yes,Yes,1396,7
154,Mavli,GEN,SANTOSH JOSHI,M,GEN,49,5th Pass,IND,0,1872800,250000,Yes,No,1668,6
154,Mavli,GEN,TEJ SINGH RANAWAT,M,GEN,42,8th Pass,NPEP,0,192000,0,Yes,Yes,595,10
111,Merta ,SC,BHIKHA RAM,M,SC,37,8th Pass,SP,0,626250,10000,Yes,No,1377,6
111,Merta ,SC,HEERA LAL,M,SC,33,Literate,ABHM,0,216000,0,Yes,Yes,576,9
111,Merta ,SC,JASSA RAM,M,SC,26,8th Pass,IND,0,153700,15500,No,No,727,8
111,Merta ,SC,LAXMAN RAM,M,SC,41,8th Pass,INC,0,2671868,0,Yes,Yes,42520,2
111,Merta ,SC,PANCHARAM,M,SC,38,Post Graduate,IND,0,250000,0,Yes,Yes,19138,3
111,Merta ,SC,SHANKAR LAL,M,SC,49,8th Pass,BSP,0,422000,0,No,No,1540,5
111,Merta ,SC,SHAYAMA RAM,M,SC,47,10th Pass,IND,0,235000,0,No,No,838,7
111,Merta ,SC,SHIVRAM,M,SC,31,10th Pass,JGP,0,359500,0,Yes,Yes,500,10
111,Merta ,SC,SUKHARAM,M,SC,56,8th Pass,BJP,0,6700934,3640000,Yes,Yes,78069,1
61,Mundawar,GEN,AJAY PRATAP SINGH,M,GEN,40,12th Pass,IND,0,5656074,970000,Yes,Yes,334,8
61,Mundawar,GEN,ANITA CHOUDHARY,F,GEN,33,Post Graduate,NPEP,0,118347,0,No,No,1051,5
61,Mundawar,GEN,DHARAM PAL CHOUDHARY,M,GEN,59,12th Pass,BJP,0,84245664,27560488,Yes,Yes,81798,1
61,Mundawar,GEN,DR. RAKESH KUMAR JAT,M,GEN,38,Doctorate,IPGP,0,1100000,0,Yes,Yes,137,12
61,Mundawar,GEN,HITESH KUMAR,M,GEN,26,8th Pass,JKNPP,0,96000,0,Yes,Yes,120,14
61,Mundawar,GEN,KARAN SINGH CHOUDHARY,M,GEN,48,Graduate,BSP,0,44361807,3235481,Yes,Yes,9061,3
61,Mundawar,GEN,MAHIPAL SINGH YADAV,M,GEN,62,Graduate Professional,IND,0,11087500,600000,Yes,Yes,1612,4
61,Mundawar,GEN,MAJOR O.P. YADAV,M,GEN,70,12th Pass,INC,0,228384721,42424925,Yes,Yes,52381,2
61,Mundawar,GEN,NARESH,M,GEN,26,Graduate,IND,0,570000,150000,No,No,229,10
61,Mundawar,GEN,RAJESH KUMAR,M,GEN,25,12th Pass,BYS,0,794000,0,Yes,Yes,121,13
61,Mundawar,GEN,RAJU RAM,M,GEN,35,10th Pass,IND,0,150000,0,Yes,No,783,7
61,Mundawar,GEN,SAVITA CHOUDHARY,F,GEN,48,Graduate,SP,0,668742,0,No,No,102,15
61,Mundawar,GEN,SUMER SINGH OLA,M,GEN,35,Graduate Professional,nuzp,0,879000,400000,Yes,Yes,148,11
61,Mundawar,GEN,SURAJ BHAN,M,SC,53,Literate,LJP,0,61000,0,No,No,93,16
61,Mundawar,GEN,SURESH CHAND,M,GEN,38,10th Pass,JGP,0,1181275,0,Yes,Yes,299,9
74,Nadbai ,GEN,GHANSHYAM (BABA),M,GEN,53,Graduate,BSP,0,2907145,0,No,No,46434,2
74,Nadbai ,GEN,GIRISH CHAUDHARY,M,GEN,46,Graduate,INC,0,50367966,9252010,Yes,Yes,34111,3
74,Nadbai ,GEN,KRISHNENDRA KAUR (DEEPA),F,GEN,59,12th Pass,BJP,0,78018000,1535000,Yes,No,60990,1
71,Nagar,GEN,ANITA,F,GEN,42,Graduate,BJP,1,28914000,700000,Yes,Yes,44670,1
71,Nagar,GEN,ASHMEENA,F,GEN,26,5th Pass,BYS,0,2268200,0,Yes,Yes,612,11
71,Nagar,GEN,BRIJENDRA SINGH SOOPA,M,GEN,60,12th Pass,INC,0,47527000,2358000,Yes,No,4553,6
71,Nagar,GEN,DR. DAULAT  PATEL,M,GEN,51,Graduate Professional,IND,0,10263000,2400000,Yes,Yes,238,18
71,Nagar,GEN,HARIOM,M,GEN,27,8th Pass,IND,0,2185000,0,Yes,No,136,21
71,Nagar,GEN,KALU KHAN,M,GEN,48,8th Pass,IND,3,1557000,0,Yes,Yes,5121,5
71,Nagar,GEN,KANHAIYA LAL,M,GEN,42,8th Pass,IND,2,1015000,0,Yes,Yes,450,14
71,Nagar,GEN,KHURSED AHMAD,M,GEN,47,10th Pass,JD(S),0,21190000,1600000,No,No,289,17
71,Nagar,GEN,MAHAVEER PRASAD,M,SC,43,12th Pass,IND,0,1454000,0,Yes,Yes,655,10
71,Nagar,GEN,MAHESH CHAND,M,GEN,51,12th Pass,IND,0,7694000,0,Yes,Yes,150,20
71,Nagar,GEN,MANU KAUSHIK,M,GEN,32,Graduate Professional,IND,0,3677750,230000,No,No,805,7
71,Nagar,GEN,NARENDRA SINGH,M,GEN,45,Post Graduate,IND,0,353000,0,Yes,Yes,567,12
71,Nagar,GEN,NEM SINGH,M,GEN,43,Graduate,SP,3,4727354,1022330,Yes,No,30418,3
71,Nagar,GEN,PAVAN SHARMA,M,GEN,33,Post Graduate,JGP,0,3222737,140000,Yes,Yes,743,8
71,Nagar,GEN,RAMESHWAR SINGH,M,GEN,35,12th Pass,IND,0,1025000,500000,Yes,Yes,303,16
71,Nagar,GEN,SHADI KHAN,M,GEN,64,Graduate,LJP,0,6215328,0,Yes,No,316,15
71,Nagar,GEN,SUDESH KUMAR,M,GEN,30,Graduate Professional,BSP,0,13463250,0,No,No,18716,4
71,Nagar,GEN,TOTA RAM,M,GEN,45,10th Pass,IND,0,56500,0,No,No,180,19
71,Nagar,GEN,VIJAY SINGH,M,SC,47,10th Pass,BHBP,0,34500,0,Yes,No,462,13
71,Nagar,GEN,WAJIB ALI,M,GEN,31,Post Graduate,NPEP,0,38173000,0,Yes,Yes,36557,2
109,Nagaur,GEN,ASHOK KUMAR,M,GEN,29,10th Pass,IND,1,301800,20500,Yes,Yes,262,11
109,Nagaur,GEN,BABU KHAN,M,GEN,53,Literate,IND,0,112000,0,Yes,Yes,1224,7
109,Nagaur,GEN,DINESHRAM,M,GEN,30,8th Pass,SP,1,4002000,900000,Yes,Yes,1257,5
109,Nagaur,GEN,HABIBUR RAHMAN ASHRAFI LAMBA,M,GEN,58,12th Pass,BJP,0,8030903,0,Yes,No,67143,1
109,Nagaur,GEN,HARENDRA MIRDHA,M,GEN,63,Post Graduate,IND,0,102348165,1459330,Yes,Yes,61288,2
109,Nagaur,GEN,JITENDRA,M,GEN,30,12th Pass,IND,0,115049,0,Yes,Yes,408,9
109,Nagaur,GEN,MADANARAM,M,GEN,48,5th Pass,IND,0,700000,0,Yes,No,1243,6
109,Nagaur,GEN,RAMRATAN,M,GEN,39,Graduate Professional,SHS,0,10634388,720451,Yes,Yes,362,10
109,Nagaur,GEN,SHAUKAT ALI,M,GEN,54,10th Pass,INC,0,1066000,0,Yes,No,8195,3
109,Nagaur,GEN,SHIVNARAYAN,M,SC,40,10th Pass,BA S D,0,493200,0,No,No,644,8
102,Nasirabad,GEN,ASHOK,M,GEN,39,8th Pass,BSP,0,646531,0,Yes,No,1515,6
102,Nasirabad,GEN,BHAGU SINGH RAWAT,M,GEN,57,8th Pass,IND,0,702500,50000,Yes,Yes,248,10
102,Nasirabad,GEN,MAHENDRA SINGH,M,GEN,56,8th Pass,INC,0,8724634,573180,Yes,No,56053,2
102,Nasirabad,GEN,PRABHU,M,GEN,67,8th Pass,IND,0,64000,80290,No,Yes,1305,7
102,Nasirabad,GEN,RAJESH KUMAR,M,SC,37,Graduate Professional,IND,0,1700,0,Yes,Yes,244,11
102,Nasirabad,GEN,SALAM,M,GEN,36,8th Pass,IND,0,755000,0,No,No,1769,5
102,Nasirabad,GEN,SALAMUDDIN,M,GEN,39,5th Pass,IND,0,2561929,1390000,No,No,1213,8
102,Nasirabad,GEN,SANGEETA,F,GEN,41,Graduate,IND,0,1957961,0,Yes,Yes,1131,9
102,Nasirabad,GEN,SANWAR LAL,M,GEN,58,Doctorate,BJP,0,23655371,0,No,No,84953,1
102,Nasirabad,GEN,SUVALAL GUNJAL,M,GEN,32,Post Graduate,IND,0,391706,0,Yes,No,2972,3
176,Nathdwara,GEN,BABU LAL SALVI,M,SC,46,8th Pass,BSP,0,1585600,324680,Yes,Yes,1503,5
176,Nathdwara,GEN,DEVKINANDAN GURJAR,M,GEN,66,Post Graduate,INC,1,97275958,6719039,Yes,No,68978,2
176,Nathdwara,GEN,HANSRAJ,M,GEN,29,5th Pass,BYS,0,140636,0,Yes,Yes,280,10
176,Nathdwara,GEN,KALYANSINGH CHOUHAN,M,GEN,53,8th Pass,BJP,0,58381198,4859485,Yes,Yes,81450,1
176,Nathdwara,GEN,LOKESH KUMAR KHATIK,M,SC,27,Graduate,JGP,0,385600,0,Yes,No,321,8
176,Nathdwara,GEN,RAVINDRA PALIWAL,M,GEN,37,Post Graduate,NPEP,0,152501,0,Yes,Yes,320,9
176,Nathdwara,GEN,SHYAMLAL KABRA,M,GEN,54,Graduate,IND,1,131031463,42099479,No,No,2482,4
176,Nathdwara,GEN,VIKAS SANADHYA,M,GEN,31,Graduate,IND,0,1117460,353096,Yes,Yes,478,7
29,Nawalgarh,GEN,ASHOK KUMAR,M,GEN,51,10th Pass,IND,0,2259000,220000,Yes,No,299,13
29,Nawalgarh,GEN,BHAGIRATH MAL,M,GEN,63,Graduate Professional,SP,0,254579780,800000,No,No,382,11
29,Nawalgarh,GEN,BHANWAR SINGH,M,GEN,72,Graduate,NPEP,1,21623000,0,Yes,No,610,9
29,Nawalgarh,GEN,DR. RAJKUMAR SHARMA,M,GEN,39,Doctorate,IND,4,4251742,0,Yes,Yes,76845,1
29,Nawalgarh,GEN,GAJENDRA SINGH GAUR,M,GEN,31,12th Pass,IND,0,1081000,0,Yes,Yes,465,10
29,Nawalgarh,GEN,JAGDISH PRASAD,M,GEN,54,Literate,BJP,1,7366928,674339,No,No,30889,3
29,Nawalgarh,GEN,OMPRAKASH,M,GEN,27,Graduate,IND,0,4310304,1067745,Yes,Yes,381,12
29,Nawalgarh,GEN,PRATIBHA SINGH,F,GEN,54,Post Graduate,INC,0,17786079,1176300,No,No,43279,2
29,Nawalgarh,GEN,RAJKUMAR,M,GEN,26,Graduate,IND,0,336000,0,Yes,No,1646,6
29,Nawalgarh,GEN,RAVINDRA CHOUDHARY,M,GEN,43,12th Pass,BSP,0,4403699,440000,Yes,Yes,1948,5
29,Nawalgarh,GEN,SANJAY BASOTIA,M,GEN,54,Graduate,IND,0,42278481,0,No,No,824,7
29,Nawalgarh,GEN,SUBHASH,M,GEN,53,8th Pass,IND,0,358500,18000,Yes,Yes,697,8
29,Nawalgarh,GEN,SUGANI DEVI,F,GEN,45,8th Pass,JGP,0,2359845,0,No,No,263,14
115,Nawan,GEN,ABHILASH SINGH,M,GEN,31,Graduate,BSP,1,1918918,79082,Yes,Yes,3123,3
115,Nawan,GEN,BANNA RAM,M,SC,42,12th Pass,IND,0,1061000,0,No,No,1539,6
115,Nawan,GEN,BHANWAR LAL BABEL,M,GEN,69,10th Pass,IND,2,610500,280000,No,No,788,10
115,Nawan,GEN,CHENA RAM REWAR,M,GEN,43,10th Pass,CPM,0,702220,0,No,No,1283,7
115,Nawan,GEN,DR PREM SUKH KUMAWAT,M,GEN,47,Post Graduate,IND,0,12832794,595142,Yes,Yes,651,11
115,Nawan,GEN,JAIPAL,M,GEN,33,12th Pass,JGP,0,381083,0,Yes,Yes,1160,8
115,Nawan,GEN,KAILASH CHANDR VERMA,M,GEN,44,5th Pass,IND,0,851000,0,Yes,No,372,12
115,Nawan,GEN,MADAN,M,GEN,48,5th Pass,BA S D,0,687000,0,Yes,Yes,881,9
115,Nawan,GEN,MAHAVEER PRASAD KUMAWAT,M,GEN,41,10th Pass,NPEP,0,1490000,0,Yes,Yes,225,13
115,Nawan,GEN,MAHENDRA CHOUDHARY,M,GEN,44,Graduate Professional,INC,0,10975401,0,Yes,Yes,55229,2
115,Nawan,GEN,SOHAN RAM KUMAWAT,M,GEN,49,8th Pass,IND,0,825000,100000,Yes,Yes,1750,5
115,Nawan,GEN,VIJAY SINGH,M,GEN,43,Graduate,BJP,0,24864221,440650,No,No,85008,1
38,Neem ka Thana,GEN,DASHRATH KUMAR SAIN,M,GEN,50,10th Pass,IND,0,251600,0,No,No,386,11
38,Neem ka Thana,GEN,JAINARAYAN,M,SC,30,8th Pass,IND,0,278200,0,No,No,777,8
38,Neem ka Thana,GEN,KARAN SINGH,M,GEN,44,Others,IND,0,54888448,0,Yes,Yes,18116,4
38,Neem ka Thana,GEN,MALIRAM,M,GEN,54,Post Graduate,JD(S),0,6493100,50000,No,No,356,13
38,Neem ka Thana,GEN,PREM SINGH BAJOR,M,GEN,61,Literate,BJP,0,877022409,460275419,No,No,69613,1
38,Neem ka Thana,GEN,RAKSHA CHOUDHARY,F,GEN,34,8th Pass,BYS,0,5672500,1500000,No,No,350,14
38,Neem ka Thana,GEN,RAMESH CHAND KHANDELWAL,M,GEN,58,12th Pass,INC,0,22736148,966172,Yes,Yes,35411,2
38,Neem ka Thana,GEN,RAMESH CHAND KHANDELWAL,M,GEN,77,5th Pass,IND,0,9900430,0,Yes,No,372,12
38,Neem ka Thana,GEN,RAMRATAN YADAV,M,GEN,53,Post Graduate,SP,0,1100000,0,No,No,323,15
38,Neem ka Thana,GEN,ROSHAN LAL,M,GEN,51,Graduate,CPM,0,3977482,434000,Yes,Yes,1603,7
38,Neem ka Thana,GEN,SANWAL RAM YADAV EANSHA,M,GEN,54,Graduate Professional,BSP,2,1948031,450000,Yes,No,2242,6
38,Neem ka Thana,GEN,SATISH KUMAR SHARMA,M,GEN,48,Graduate,IND,0,958000,0,Yes,Yes,750,9
38,Neem ka Thana,GEN,SATISH KUMAR SHARMA,M,GEN,65,Post Graduate,JGP,0,852500,5000,Yes,Yes,462,10
38,Neem ka Thana,GEN,SURESH KUMAR MODI,M,GEN,63,Graduate Professional,IND,0,71901814,0,No,No,19713,3
170,Nimbahera,GEN,ANJANA UDAILAL,M,GEN,64,12th Pass,INC,0,655542000,202559600,Yes,No,85463,2
170,Nimbahera,GEN,GULAB CHAND SEHLOT,M,GEN,63,12th Pass,IND,0,1555000,0,Yes,No,3170,5
170,Nimbahera,GEN,KANHAIYA LAL MEGHWAL,M,SC,39,8th Pass,IND,0,1671234,271170,Yes,Yes,741,9
170,Nimbahera,GEN,KANHAIYALAL,M,GEN,48,5th Pass,IND,0,1350850,0,Yes,No,544,10
170,Nimbahera,GEN,MAKKHAN LAL MEENA,M,ST,44,10th Pass,NPEP,10,40427602,9585714,Yes,Yes,8724,3
170,Nimbahera,GEN,NARESH KUMAR,M,GEN,32,10th Pass,BYS,0,2751348,0,No,No,1731,7
170,Nimbahera,GEN,NEETU SHARMA,F,GEN,28,Graduate,SP,0,105000,0,Yes,Yes,483,11
170,Nimbahera,GEN,RAMESH,M,GEN,38,5th Pass,BSP,1,16253000,200000,Yes,No,1820,6
170,Nimbahera,GEN,SHANKARLAL,M,GEN,47,8th Pass,IND,0,1170000,48000,Yes,No,1067,8
170,Nimbahera,GEN,SHRICHAND KRIPLANI,M,GEN,56,Graduate,BJP,0,39555134,21441204,No,No,88833,1
95,Niwai ,SC,CHOTU,M,SC,58,Literate,IPGP,0,375000,0,Yes,Yes,1691,6
95,Niwai ,SC,HIRA LAL,M,SC,73,Post Graduate,BJP,0,10963907,0,Yes,No,66764,1
95,Niwai ,SC,OM PRAKASH BAIRWA,M,SC,40,10th Pass,BSP,0,125000,0,Yes,Yes,1951,5
95,Niwai ,SC,PRASHANT,M,SC,36,Graduate Professional,INC,0,9782690,1300000,Yes,No,60828,2
95,Niwai ,SC,PRHALAD NARAYAN,M,SC,61,8th Pass,BYS,0,51000,0,Yes,No,1312,7
95,Niwai ,SC,SUKHPAL BASWAL,M,SC,37,Graduate,NPEP,0,5372100,1150000,Yes,Yes,18714,3
10,Nohar,GEN,ABHAY KUMAR,M,GEN,29,Graduate Professional,nuzp,1,4480075,200000,Yes,Yes,2463,6
10,Nohar,GEN,ABHISHEK MATORIA,M,GEN,30,Post Graduate,BJP,0,82340356,5303018,Yes,Yes,96637,1
10,Nohar,GEN,AMAR SINGH,M,SC,37,Graduate Professional,IND,0,1226714,0,Yes,Yes,989,8
10,Nohar,GEN,KHURSEDI,F,GEN,43,Literate,NLP,0,185500,0,Yes,Yes,303,11
10,Nohar,GEN,MEHRUNISHA,F,GEN,34,10th Pass,IND,0,2271215,0,Yes,No,6092,3
10,Nohar,GEN,RAJENDRA,M,GEN,60,8th Pass,INC,0,22457653,0,Yes,No,69686,2
10,Nohar,GEN,RATAN LAL ARORA,M,GEN,67,12th Pass,JGP,0,3224000,0,No,No,404,9
10,Nohar,GEN,RIDDHKARAN,M,GEN,29,Graduate,CPM,0,2770000,250000,Yes,Yes,2278,7
10,Nohar,GEN,SHANKAR LAL,M,GEN,56,Literate,BSP,0,3161023,200835,Yes,Yes,5203,4
10,Nohar,GEN,SOHAN LAL,M,SC,52,8th Pass,RJVP,0,1471000,0,Yes,No,331,10
18,Nokha,GEN,BIHARILAL,M,GEN,38,Graduate Professional,IND,0,1246000,0,Yes,Yes,35365,3
18,Nokha,GEN,KANHAYA LAL,M,GEN,33,8th Pass,IND,1,106137000,46225000,No,No,861,8
18,Nokha,GEN,KANHAYA LAL JHANWAR,M,GEN,63,12th Pass,IND,0,25000,0,No,No,40007,2
18,Nokha,GEN,MAHAVIR LODHA,M,GEN,40,12th Pass,BSP,0,3397421,1893138,Yes,Yes,1715,7
18,Nokha,GEN,MANISH,M,GEN,28,Graduate,IND,1,2681000,620000,Yes,No,4538,4
18,Nokha,GEN,OM PRAKASH MEGHWAL,M,SC,28,Graduate,IND,0,11000,0,No,No,349,10
18,Nokha,GEN,RAMESHWAR LAL DUDI,M,GEN,50,Graduate,INC,0,66526000,24693000,Yes,No,70801,1
18,Nokha,GEN,SAHI RAM VISHNOI,M,GEN,76,8th Pass,BJP,0,17202000,1546169,Yes,No,4247,5
125,Osian,GEN,ARJUNRAM,M,GEN,27,12th Pass,JGP,0,40000,0,Yes,No,2159,6
125,Osian,GEN,BHAIRA RAM CHOUDHARY,M,GEN,41,Graduate,BJP,0,52138497,5942003,Yes,Yes,75363,1
125,Osian,GEN,BHOMA RAM,M,GEN,54,10th Pass,IND,0,848000,0,No,No,642,9
125,Osian,GEN,LEELA MADERANA,F,GEN,53,Graduate,INC,0,39606880,9156650,Yes,Yes,59967,2
125,Osian,GEN,MEHRAMARAM,M,GEN,29,Graduate Professional,IND,0,840749,1120000,Yes,Yes,2918,4
125,Osian,GEN,MRIGENDRA SINGH,M,GEN,39,Graduate,IND,1,107204118,383504,No,No,1375,7
125,Osian,GEN,RAMPAL BHAWAD,M,GEN,40,Graduate,NPEP,1,2667050,0,Yes,No,945,8
125,Osian,GEN,UMRAO SINGH,M,GEN,34,Graduate Professional,BSP,1,1952795,0,Yes,No,4524,3
137,Pachpadra,GEN,ABDUL RAHMAN,M,GEN,61,8th Pass,IND,0,11780560,0,No,No,937,6
137,Pachpadra,GEN,AMRA RAM,M,GEN,70,Graduate Professional,BJP,0,13256329,714364,Yes,Yes,77476,1
137,Pachpadra,GEN,GOBARRAM,M,SC,40,10th Pass,IND,0,5013712,0,Yes,Yes,297,8
137,Pachpadra,GEN,HANSRAJ MEGHWAL,M,SC,43,12th Pass,IND,0,240351,0,Yes,Yes,2433,4
137,Pachpadra,GEN,KEWAL CHAND,M,SC,57,10th Pass,IND,0,3596827,0,No,No,154,13
137,Pachpadra,GEN,KHARTARAM,M,GEN,27,10th Pass,JGP,0,272500,0,Yes,Yes,225,9
137,Pachpadra,GEN,MADAN PRAJAPAT,M,GEN,37,12th Pass,INC,0,10862185,0,Yes,No,54239,2
137,Pachpadra,GEN,PIRARAM BHIL,M,ST,32,10th Pass,RJVP,0,290000,0,Yes,No,124,14
137,Pachpadra,GEN,RAJENDRA SINGH,M,GEN,48,12th Pass,IND,1,341500,270000,Yes,No,426,7
137,Pachpadra,GEN,RAMSINGH,M,GEN,42,8th Pass,BSP,0,3190000,1050000,Yes,No,1536,5
137,Pachpadra,GEN,RATANLAL,M,GEN,44,Literate,IND,0,909900,0,No,No,218,10
137,Pachpadra,GEN,SARWAN SINGH,M,GEN,36,Literate,BYS,0,872500,0,No,No,213,11
137,Pachpadra,GEN,TEJARAM DEWASI,M,GEN,25,Graduate Professional,NPEP,0,55000,0,No,No,196,12
118,Pali,GEN,BHAGARAM GEHLOT,M,GEN,39,10th Pass,JGP,0,927985,0,Yes,Yes,757,6
118,Pali,GEN,BHEEMRAJ BHATI,M,GEN,65,Graduate,INC,0,59189444,1613403,No,No,65842,2
118,Pali,GEN,GHEESULAL,M,SC,37,10th Pass,MEDP,0,197000,0,No,No,1837,4
118,Pali,GEN,GYANCHAND PARAKH,M,GEN,53,Graduate,BJP,0,22546437,2500631,Yes,Yes,79515,1
118,Pali,GEN,RAMESHWAR LAL,M,GEN,66,Literate,BSP,1,6720386,350000,No,No,1468,5
114,Parbatsar,GEN,BHAG CHAND,M,GEN,25,10th Pass,BYS,0,86000,0,Yes,Yes,597,8
114,Parbatsar,GEN,GAJENDRA SINGH,M,GEN,30,8th Pass,JGP,0,400000,0,Yes,Yes,1735,6
114,Parbatsar,GEN,GANPAT LAL MUNDEL,M,GEN,35,8th Pass,CPM,0,210000,0,No,No,2675,3
114,Parbatsar,GEN,HARIOM SINGH RATHORE,M,GEN,27,5th Pass,SP,0,625000,0,Yes,No,575,9
114,Parbatsar,GEN,LACHCHHA RAM BADARDA,M,GEN,56,8th Pass,INC,0,35450602,7677592,Yes,No,58938,2
114,Parbatsar,GEN,MANSINGH KINSARIYA,M,GEN,53,Graduate,BJP,0,36899083,1258568,Yes,Yes,75236,1
114,Parbatsar,GEN,MOHANLAL,M,SC,44,5th Pass,BSP,0,942191,0,Yes,Yes,2176,4
114,Parbatsar,GEN,OM PARKASH MALI,M,GEN,26,5th Pass,IND,1,4524000,125000,Yes,No,512,10
122,Phalodi,GEN,ANOPARAM,M,SC,25,8th Pass,IND,0,134000,0,Yes,No,379,9
122,Phalodi,GEN,BHUPAT SINGH,M,GEN,34,10th Pass,BSP,0,3900000,95000,Yes,Yes,1787,4
122,Phalodi,GEN,KANWAR LAL DEORA,M,GEN,63,Graduate Professional,JGP,0,5259749,3200,Yes,No,455,7
122,Phalodi,GEN,MOHAMMAD SADIK,M,GEN,37,Literate,IND,0,171000,0,Yes,Yes,426,8
122,Phalodi,GEN,OM JOSHI,M,GEN,65,Graduate,INC,0,11063977,88244,Yes,No,50294,2
122,Phalodi,GEN,PABBA RAM,M,GEN,62,Post Graduate,BJP,0,7321990,0,Yes,Yes,84465,1
122,Phalodi,GEN,RAISH KHAN,M,GEN,29,8th Pass,IND,0,53600,0,No,No,233,10
122,Phalodi,GEN,SHIV KUMAR,M,GEN,53,8th Pass,IND,0,1131319,0,No,No,458,6
122,Phalodi,GEN,SUBODH  URPH S.L. VYAS,M,GEN,58,Literate,IND,0,6024,0,Yes,No,1740,5
44,Phulera ,GEN,BAJRANG,M,GEN,49,Doctorate,INC,0,21127887,1600000,Yes,No,60425,2
44,Phulera ,GEN,CHAND MAL,M,GEN,58,8th Pass,BSP,0,1034000,0,Yes,No,2869,3
44,Phulera ,GEN,NARAYAN LAL,M,SC,62,8th Pass,AKBAP,0,1567700,253320,No,No,1425,5
44,Phulera ,GEN,NIRMAL KUMAWAT,M,GEN,32,10th Pass,BJP,1,53667817,200000,Yes,Yes,84722,1
44,Phulera ,GEN,SANWAR MAL,M,GEN,46,10th Pass,IND,0,3873353,0,Yes,Yes,1107,6
44,Phulera ,GEN,SITA RAM SAINI,M,GEN,25,Graduate,BYS,0,20000,0,Yes,No,1104,7
25,Pilani ,SC,DHARAMPAL,M,SC,54,Post Graduate,BSP,0,3208825,256000,No,No,867,7
25,Pilani ,SC,J.P.CHANDELIA,M,SC,63,Post Graduate,IND,0,5689068,0,Yes,No,58918,2
25,Pilani ,SC,MADAN LAL,M,SC,65,Graduate,INC,0,1515000,115013,Yes,No,4691,3
25,Pilani ,SC,RANDHIR SINGH,M,SC,34,Graduate,IND,0,1049859,50000,Yes,Yes,3920,4
25,Pilani ,SC,SUBHASHCHANDRA,M,SC,71,Graduate,SUCI,0,2535500,0,Yes,Yes,1499,6
25,Pilani ,SC,SUNDERLAL,M,SC,79,Literate,BJP,0,26842422,0,No,No,72914,1
9,Pilibanga ,SC,DHARMENDER KUMAR,M,SC,48,10th Pass,IND,0,25294822,1102192,Yes,Yes,36159,3
9,Pilibanga ,SC,DROPATI,F,SC,33,12th Pass,BJP,0,11720343,1295005,Yes,No,63845,1
9,Pilibanga ,SC,MAHENDER SINGH,M,SC,61,Literate,CPI,0,220150,0,No,No,1809,9
9,Pilibanga ,SC,MANI RAM,M,SC,49,8th Pass,CPM,8,2821500,0,Yes,Yes,2367,7
9,Pilibanga ,SC,NEHA MEGHWAL,F,SC,30,Post Graduate,nuzp,0,100500,0,Yes,No,22850,4
9,Pilibanga ,SC,PRABHU RAM,M,SC,40,Literate,BA S D,0,2137500,0,Yes,No,849,11
9,Pilibanga ,SC,PREM KUMAR,M,SC,46,10th Pass,BSP,0,573000,0,Yes,Yes,5701,5
9,Pilibanga ,SC,SHASHIDUTT,F,SC,57,Graduate Professional,SHS,0,53864380,3000000,Yes,Yes,1815,8
9,Pilibanga ,SC,SUNIL KUMAR,M,SC,32,Graduate,RJVP,0,203000,0,Yes,No,951,10
9,Pilibanga ,SC,VINOD KUMAR,M,SC,31,Graduate Professional,INC,0,230009,0,Yes,Yes,53647,2
147,Pindwara abu ,ST,DALARAM ALIAS DALPATRAM,M,ST,56,8th Pass,BSP,0,685000,0,No,No,2555,7
147,Pindwara abu ,ST,GANGABEN GIRASIA,F,ST,49,8th Pass,INC,0,4794190,901530,Yes,Yes,30598,2
147,Pindwara abu ,ST,KESARMAL,M,ST,48,10th Pass,IND,0,2034808,0,No,No,9746,3
147,Pindwara abu ,ST,NAWARAM MEENA,M,ST,66,Graduate,NPEP,0,18491470,30000,Yes,No,5108,6
147,Pindwara abu ,ST,RAMLAL,M,ST,39,8th Pass,IND,0,625000,80000,No,Yes,9385,4
147,Pindwara abu ,ST,SAMARAM GRASIYA,M,ST,46,8th Pass,BJP,0,3976245,109400,Yes,Yes,61453,1
187,Pipalda,GEN,DHANNA LAL SAINI (MALI),M,GEN,55,5th Pass,IND,0,2364992,0,Yes,Yes,4886,4
187,Pipalda,GEN,DULICHAND MEENA ( BORDA),M,ST,60,Post Graduate,CPM,0,13033367,0,Yes,Yes,2343,7
187,Pipalda,GEN,PREM CHAND NAGAR,M,GEN,53,12th Pass,INC,0,13404824,670000,Yes,No,21146,3
187,Pipalda,GEN,RAMGOPAL BAIRAWA,M,SC,50,Post Graduate,NPEP,0,14608000,400000,No,No,39340,2
187,Pipalda,GEN,SHUKLA DEVI,F,GEN,25,Literate,IND,0,2636500,0,No,No,4633,5
187,Pipalda,GEN,SHYAM LAL BAIRAWA,M,SC,44,Graduate,BSP,0,1471500,0,Yes,No,1593,9
